Sample_Name,Sample_Well,Sample_Source,Sample_Group,Sample_Label,Pool_ID,Sentrix_ID,Sentrix_Position
1,A1,M28,naive,naive,,6264509100,R01C01
2,B1,M28,rTreg,rTreg,,6264509100,R02C01
3,C1,M28,act_naive,act_naive,,6264509100,R03C01
4,D1,M29,naive,naive,,6264509100,R04C01
5,E1,M29,act_naive,act_naive,,6264509100,R05C01
6,F1,M29,act_rTreg,act_rTreg,,6264509100,R06C01
7,G1,M30,naive,naive,,6264509100,R01C02
8,H1,M30,rTreg,rTreg,,6264509100,R02C02
9,A2,M30,act_naive,act_naive,,6264509100,R03C02
10,B2,M30,act_rTreg,act_rTreg,,6264509100,R04C02
11,H06,VICS-72098-18-B,birth,birth,,5975827018,R06C02
